,height
0,174.5
1,180.1
2,179.4
3,173.7
4,177.0
5,171.2
6,170.1
7,172.6
8,169.6
9,168.7
10,168.7
11,165.4
12,175.7
13,171.0
14,175.2
15,169.0
16,173.9
17,165.0
18,173.0
19,177.1
20,182.3
21,171.5
22,167.1
23,179.4
24,168.2
25,167.7
26,176.4
27,167.9
28,171.0
29,165.7
30,169.1
31,167.7
32,173.4
33,178.5
34,175.5
35,162.7
36,181.4
37,174.5
38,171.7
39,182.0
40,170.4
41,182.7
42,164.0
43,177.5
44,170.9
45,171.0
46,165.6
47,163.5
48,174.6
49,175.1
50,175.3
51,171.9
52,169.9
53,153.8
54,172.4
55,167.3
56,169.6
57,179.5
58,178.0
59,171.6
60,181.2
61,169.5
62,171.2
63,174.4
64,177.0
65,174.4
66,180.6
67,178.5
68,169.5
69,179.2
70,168.1
71,183.0
72,173.1
73,170.6
74,164.9
75,157.2
76,193.7
77,170.1
78,166.7
79,185.9
80,167.5
81,176.0
82,170.9
83,184.7
84,176.3
85,176.6
86,175.7
87,170.3
88,161.4
89,155.5
90,171.1
91,170.1
92,162.5
93,175.8
94,175.1
95,173.6
96,180.3
97,164.3
98,174.3
99,175.9
100,170.8
101,181.9
102,159.7
103,176.3
104,179.7
105,159.2
106,184.6
107,176.4
108,177.4
109,176.9
110,176.8
111,173.3
112,164.7
113,171.3
114,174.8
115,176.3
116,177.5
117,170.0
118,170.0
119,169.9
120,175.2
121,172.8
122,175.0
123,171.8
124,175.8
125,181.0
126,167.8
127,161.1
128,180.9
129,176.4
130,182.1
131,168.5
132,162.6
133,178.3
134,166.6
135,184.8
136,171.7
137,176.3
138,178.4
139,184.9
140,175.2
141,165.3
142,168.3
143,168.6
144,176.3
145,172.7
146,167.8
147,170.9
148,177.4
149,176.0
150,165.7
151,174.0
152,166.4
153,164.7
154,163.0
155,181.8
156,176.8
157,172.1
158,180.3
159,170.4
160,178.2
161,176.5
162,172.4
163,176.7
164,177.2
165,172.6
166,178.3
167,171.5
168,172.2
169,177.3
170,177.7
171,160.8
172,179.0
173,168.6
174,168.7
175,172.5
176,157.2
177,175.0
178,178.7
179,178.5
180,166.1
181,180.4
182,175.0
183,168.5
184,172.1
185,175.5
186,175.1
187,162.2
188,168.7
189,174.7
190,168.5
191,173.9
192,172.7
193,170.4
194,171.6
195,173.3
196,176.3
197,183.0
198,165.4
199,172.7
